,Client_ID,Client_Industry,Employee_Count,Contract_Length,Monthly_Support_Tickets,Client_Satisfaction_Score,Monthly_Revenue
137,3,Retail,358,24,47,5,26285.13373
138,9,Retail,709,6,13,6,17430.65403
139,74,Healthcare,363,12,5,6,12730.20834
140,110,Retail,876,36,23,2,33325.3194
141,99,Healthcare,62,12,7,9,16144.75273
142,11,Manufacturing,200,36,10,3,24959.69084
143,166,Healthcare,706,24,5,3,27620.02992
144,279,Retail,987,6,25,10,26487.0922
145,49,Healthcare,691,24,22,5,28390.14079
146,281,Healthcare,673,36,24,10,36360.75817
147,60,Healthcare,834,12,31,2,22643.13642
148,188,Finance,32,6,5,2,9700.273907
149,149,Healthcare,246,36,35,1,28896.60854
150,154,Finance,713,6,7,1,15792.24049
151,194,Healthcare,811,24,14,5,28106.19479
152,65,Healthcare,785,12,49,4,22111.35935
153,143,Manufacturing,105,24,9,8,17623.5727
154,176,Healthcare,213,6,10,7,9782.014247
155,54,Technology,930,6,7,6,21416.06441
156,88,Finance,579,36,25,1,30139.25901
157,214,Healthcare,484,6,48,2,16827.80426
158,75,Technology,843,24,0,3,25103.84384
159,109,Retail,56,12,13,7,8042.90603
160,83,Technology,584,24,13,10,22920.07932
161,23,Manufacturing,575,6,37,1,14886.30422
162,141,Finance,760,12,24,7,24036.50511
163,82,Finance,707,6,,5,24647.21712
164,19,Finance,137,24,29,7,18179.43813
165,168,Retail,983,12,32,1,26400.60539
166,132,Technology,839,12,16,9,25699.89186
167,210,Manufacturing,506,24,18,1,23490.46698
168,125,Finance,613,6,34,10,20075.04548
169,98,Healthcare,273,12,0,4,11487.75987
170,68,Healthcare,663,24,4,5,26932.31588
171,159,Finance,256,6,41,1,13491.09166
172,77,Finance,736,36,40,9,36508.55389
173,249,Manufacturing,614,36,34,2,32023.07437
174,13,Technology,990,24,37,3,37100.05471
175,192,Technology,846,24,10,4,27151.75784
176,169,Finance,229,36,21,7,27669.20453
177,262,Retail,84,6,34,9,14094.55645
178,73,Technology,101,6,20,9,6447.643398
179,63,Technology,29,6,28,8,11674.65502
180,90,Retail,314,36,21,7,27873.77021
181,105,Finance,783,,13,9,20931.99821
182,252,Manufacturing,611,36,48,6,33567.90937
183,48,Technology,486,6,46,10,19159.96944
184,53,Manufacturing,827,36,15,6,36840.53005
185,142,Technology,811,6,3,3,18865.82406
186,31,Retail,952,36,28,5,37172.51138
187,147,Manufacturing,610,24,17,3,25499.2842
188,259,Healthcare,510,6,33,2,16579.06673
189,33,Manufacturing,672,24,9,1,22126.89628
190,46,Finance,185,24,47,4,24830.85366
191,89,Manufacturing,351,12,46,6,18073.06191
192,72,Technology,152,6,21,10,9278.176084
193,76,Healthcare,809,36,4,8,35500.24647
194,113,Technology,829,6,25,3,18853.1824
195,47,Healthcare,48,24,10,4,15997.94549
196,136,Retail,917,6,43,6,25216.12421
197,26,Retail,881,36,14,1,35054.21134
198,293,Finance,882,24,32,1,31695.71979
199,114,Retail,665,24,13,6,26458.44385
200,158,Technology,870,6,18,4,17767.0115
201,294,Manufacturing,807,12,22,7,21197.38353
202,238,Manufacturing,616,24,1,9,28703.25018
203,55,Retail,417,12,3,8,13456.07286
204,193,Manufacturing,109,12,3,4,10883.41243
205,34,Finance,971,36,16,6,37249.19019
206,283,Finance,199,36,41,6,24556.33694
207,86,Finance,159,6,26,7,10187.15121
208,5,Technology,311,6,22,8,13454.32706
209,102,Finance,14,12,,9,11739.39565
210,96,Retail,453,24,25,9,24341.8947
211,157,Manufacturing,799,24,43,3,33302.96389
212,243,Finance,763,12,16,9,22486.97607
213,129,Technology,750,12,27,7,24161.23519
214,85,Finance,134,6,44,6,11574.9327
215,8,Retail,108,6,20,3,11194.2444
216,258,Technology,835,24,8,6,30703.01996
217,124,Retail,796,36,37,6,37765.09711
218,230,Manufacturing,426,24,9,1,22447.74433
219,282,Technology,672,12,44,2,24626.3171
220,52,Manufacturing,876,24,10,8,31827.09182
221,45,Healthcare,255,6,42,3,11540.03025
222,240,Technology,907,6,0,2,19080.32047
223,128,Manufacturing,355,6,36,1,14968.36985
224,255,Finance,626,24,49,10,31076.5263
225,296,Technology,890,6,32,3,23704.03219
226,38,Technology,395,6,23,4,13598.45525
227,172,Finance,103,12,5,7,7374.519519
228,151,Finance,906,12,21,2,27080.26749
229,178,Finance,227,12,30,8,15649.51936
230,275,Retail,748,6,36,5,18564.34556
231,184,Healthcare,298,36,36,3,26376.08274
232,223,Retail,966,24,35,2,32043.93024
233,39,Finance,995,12,4,8,27183.13888
234,185,Healthcare,263,12,35,3,15815.8194
235,29,Manufacturing,635,24,16,2,28097.53723
236,50,Manufacturing,768,24,15,4,23960.63081
237,217,Manufacturing,917,36,0,7,31972.19071
238,226,Finance,622,12,2,4,17338.26764
239,126,Manufacturing,67,6,14,2,8416.108641
240,43,Manufacturing,402,24,12,2,18819.68016
241,216,Retail,673,12,46,7,24066.42194
242,242,Finance,508,6,8,7,14647.72311
243,181,Finance,350,12,2,6,16893.70638
244,260,Healthcare,635,24,11,1,26725.29094
245,234,Manufacturing,565,12,43,1,20168.421
246,12,Retail,262,6,38,7,13460.29546
247,206,Retail,801,24,4,3,27661.49153
248,179,Technology,483,36,23,7,32242.27267
249,241,Retail,262,6,36,9,13791.62774
250,161,Retail,85,12,36,7,13902.25521
251,69,Manufacturing,981,12,17,8,25414.27902
252,59,Manufacturing,912,6,2,8,22926.3419
253,245,Retail,736,24,10,6,27630.82057
254,289,Retail,534,12,39,10,18644.09544
255,198,Finance,771,6,37,2,20607.15023
256,35,Retail,648,6,9,6,18456.96947
257,119,Finance,679,6,45,6,23296.25616
258,274,Manufacturing,201,6,20,9,13321.65152
259,20,Manufacturing,27,12,14,4,12463.96501
260,295,Manufacturing,282,36,14,8,29983.60699
261,251,Finance,979,,30,5,27236.02112
262,108,Manufacturing,359,12,22,2,16194.4706
263,207,Technology,345,6,5,4,13973.40353
264,156,Finance,590,24,48,6,28945.9081
265,44,Healthcare,820,12,42,3,26102.06669
266,120,Healthcare,668,36,42,5,35906.2701
267,165,Retail,95,6,44,10,9205.082198
268,204,Finance,525,6,44,5,19490.02865
269,175,Manufacturing,462,36,29,9,28228.0129
270,107,Retail,893,36,27,6,35593.88708
271,121,Healthcare,666,12,46,8,26837.74961
272,64,Healthcare,330,36,31,4,29477.72393
273,1,Manufacturing,46,12,29,7,13180.64161
274,171,Finance,56,36,5,2,21477.92319
275,264,Finance,385,12,39,10,24040.01405
276,276,Retail,698,36,4,7,33398.55478
277,133,Manufacturing,800,36,38,1,38017.04165
278,257,Finance,205,12,10,9,12716.07345
279,266,Finance,738,24,28,5,29279.09879
280,93,Retail,847,6,42,5,24496.81301
281,80,Manufacturing,60,12,45,1,12272.20617
282,270,Manufacturing,403,6,36,9,18703.64888
283,118,Retail,115,24,22,4,16984.55352
284,195,Manufacturing,189,6,5,6,11436.00551
285,10,Technology,125,24,,6,17660.04085
286,164,Finance,444,24,33,10,26309.27854
287,261,Healthcare,502,6,34,5,16534.09375
288,229,Retail,586,36,49,8,36034.26278
289,163,Technology,665,36,25,3,32349.08544
290,66,Manufacturing,521,6,18,5,12097.802
291,28,Healthcare,801,36,41,6,38552.32392
292,145,Manufacturing,127,6,40,1,12740.50539
293,297,Technology,,12,24,6,13468.25101
294,130,Technology,483,6,9,1,14775.01403
295,84,Technology,199,24,25,4,20432.92593
296,231,Healthcare,177,6,4,10,10006.64605
297,14,Healthcare,937,36,33,8,38860.47069
298,111,Finance,832,36,1,2,34748.20167
299,41,Manufacturing,113,24,5,5,16264.09964
